Cell_ID,AP12AHPDepthPercentChangeTest,AP12AmplitudeChangePercentTest,AP12AmplitudeDropTest,AP12HalfWidthChangePercentTest,AP12RateOfChangePeakToTroughPercentChangeTest,AP1AHPDepthTest,AP1AmplitudeTest,AP1DelayMeanStrongStimTest,AP1DelayMeanTest,AP1DelaySDStrongStimTest,AP1DelaySDTest,AP1RateOfChangePeakToTroughTest,AP1SSAmplitudeChangeTest,AP1WidthHalfHeightTest,AP1WidthPeakToTroughTest,AP2AHPDepthTest,AP2AmplitudeTest,AP2DelayMeanStrongStimTest,AP2DelayMeanTest,AP2DelaySDStrongStimTest,AP2DelaySDTest,AP2RateOfChangePeakToTroughTest,AP2WidthHalfHeightTest,AP2WidthPeakToTroughTest,AccommodationAtSSMeanTest,AccommodationRateMeanAtSSTest,AccommodationRateToSSTest,Burst1ISIMeanStrongStimTest,Burst1ISIMeanTest,Burst1ISISDStrongStimTest,Burst1ISISDTest,ISIBurstMeanChangeTest,ISICVTest,ISIMedianTest,InitialAccommodationMeanTest,InputResistanceTest,SSAccommodationMeanTest,SpikeRateStrongStimTest
NMLCL000102,-0.04242528673719339,-0.045400419415496794,0.7352015968793849,-0.02061485161249587,-1.2405843077161989,0.40523711269676427,0.12076287986174963,-0.29624711811022,-0.09856315569953707,-0.12059078332792827,-0.12059078332792827,0.0633724261103311,-0.475033290418269,0.046890767832280446,0.22253409044815572,0.3381959733383801,-0.038315628181779166,-0.19680161715800423,-0.13876142452168475,-0.1720165140865197,-0.17146165315955056,0.1379014798611785,0.1950556957649307,0.48869559489855763,-1.175978889451449,-0.05761123969116986,-0.021704656780121154,-0.053171424074354566,1.4600896961369667,-0.15436027506944197,2.206006355606306,0.6624981783350458,-0.0782571496373304,1.4145459363219888,-0.14646161143168032,0.3008299542264524,-0.43749031808341293,-0.6835497261387066
NMLCL000103,-0.029371817764581743,-0.044253184777357034,0.003696429402194402,-0.061381686279055575,-0.0619927573629989,0.8676999483411001,0.6318772442350626,-0.3014918011425302,-0.09363209112504003,-0.12059078332792827,-0.12059078332792827,0.03247081145804938,-0.07532754878536013,-0.10383279342074188,-0.23703560285969538,0.9199974092293635,0.6569422675885316,-0.20401952117046315,-0.1480220087201234,-0.1720165140865197,-0.17146165315955056,-0.015122054497380613,-0.07297396082014714,-0.17205758628190265,-1.1886871842004876,-0.05759700872971982,-0.021704656780121154,-0.07430234922861587,0.146621540433978,-0.15436027506944197,-0.1761449941738876,0.0025037286416652606,-0.07572469892771533,0.9419986112432482,-0.024038553372877875,0.13017305942579452,-0.2348071355204802,-0.5259200410086173
NMLCL000104,-0.02990326145744545,-0.04529801638271989,0.9686933634005643,-0.05191060347773358,-0.4899232317321291,1.2678741767239161,0.7167981285518019,-0.32986364067876434,-0.3442662008771899,-0.12059078332792827,-0.12059078332792827,0.008318634693905135,2.148319734666906,-0.1295660843663798,-0.3426509982161609,1.3275461212896495,0.5158497557264459,-0.27359209595721673,-0.3091267750929722,-0.1720165140865197,-0.17146165315955056,-0.095236791541441,-0.08874041120750464,-0.2841322409068941,-1.0568052593554509,-0.0576020426214358,-0.04658730744515058,-0.19005023813226019,0.2750763559263283,-0.15436027506944197,1.014930680716209,0.30099866357250776,-0.07179027605484994,0.48204545286142547,0.037172975656523305,-0.31741351124041983,-0.1334655442390139,-0.43994021275584133
NMLCL000105,-0.03774603141119015,-0.04429711127155049,0.031433974756849,-0.05623690055981886,-0.16938839951638626,0.5698455101631257,0.520049425893912,-0.31084376606761366,-0.18647213449320346,-0.12059078332792827,-0.12059078332792827,0.04809723002835354,0.19954192113549163,-0.09280424015832565,-0.09431209562123015,0.5386050413243906,0.5360731351339446,-0.23158790455138156,-0.22602650630697732,-0.1720165140865197,-0.17146165315955056,0.0569441126486925,-0.05326589783595016,-0.011254820950365198,-1.2605984018007936,-0.057599076651672604,-0.06124352636293692,-0.12441451530673692,-0.047664329464312837,-0.15436027506944197,-0.1761449941738876,-0.030667143470579437,-0.07528975916408846,0.7302747046313911,-0.14646161143168032,-0.10215382364699965,-0.1334655442390139,-0.49726009825769196
NMLCL000106,-0.030157500488343245,-0.04423524193657145,-0.02403235217513388,-0.061381686279055526,0.003947780275227628,0.9317828731048308,0.4695180109744566,-0.28184003700941485,0.047668414440796045,-0.12059078332792827,-0.12059078332792827,0.045967596355358346,-0.15462160405441328,-0.07442331805429847,-0.11619636673112987,0.9780050470275596,0.4975159018759207,-0.16567440610427617,-0.04091281793817546,-0.1720165140865197,-0.17146165315955056,0.04266037715788843,-0.041441060045432014,-0.046339060659074754,-1.0444067838637763,-0.057593664008939845,-0.037189343823595546,-0.009847125015060047,0.6385877191075991,-0.15436027506944197,-0.1761449941738876,0.13400892524152572,-0.07472614873966442,1.2606842434641439,-0.024038553372877875,0.004345212332493025,-0.03212395295754756,-0.5689099551350053
NMLCL000107,-0.035668473002529115,-0.04412992501077355,-0.10184478726904671,-0.061381686279055526,0.30655915298221315,0.8609838307796963,0.7382103983515274,-0.31697309443067645,-0.05129295046812958,-0.12059078332792827,-0.12059078332792827,-0.010309497153030778,-0.29797339162108255,-0.1332422687871852,-0.4025948712563159,0.848780676379586,0.7905693652981439,-0.22617447654203798,-0.1284718865234182,-0.1720165140865197,-0.17146165315955056,-0.23346739400392558,-0.10450686159486208,-0.3669700291079979,-1.0143969097939851,-0.057590432922199106,-0.042786623025951175,-0.10487726327863414,0.06475401943038987,-0.15436027506944197,-0.1761449941738876,-0.05081967723288175,-0.07456846695610082,0.6095835634964154,-0.14646161143168032,-0.3461132367495307,-0.1334655442390139,-0.454270184131304
NMLCL000108,-0.034812986797201496,-0.044177185205652614,-0.0555114604660265,-0.05807432403097486,0.23887669110539042,0.8853556226410637,0.7902803027497933,-0.3145087252950117,-0.11981774438272498,-0.12059078332792827,-0.12059078332792827,-0.01683360464041703,-0.19521082979229848,-0.1369184532079906,-0.41210977173887153,0.88206241792302,0.8328563047204568,-0.22592385487493782,-0.1720799285160681,-0.1720165140865197,-0.17146165315955056,-0.2587216460325708,-0.10450686159486208,-0.3747665268210346,-1.10774868756641,-0.057593738552759864,-0.05111943708816124,-0.10735631036377123,0.008762288597921985,-0.15436027506944197,-0.1761449941738876,-0.04952577579626023,-0.07493031124155615,0.6164660095223372,0.037172975656523305,0.06230809566306546,-0.1334655442390139,-0.454270184131304
NMLCL000109,-0.03305818210037282,-0.04424227797577241,-0.011598301451606934,-0.05613982913115412,-0.769573286400817,0.5243018790415458,0.557403925764727,-0.3039561702781949,-0.12780946972760215,-0.12059078332792827,-0.12059078332792827,0.04619571784643936,0.010050496766770724,-0.09648042457913097,-0.11905083687588576,0.5333038848513054,0.5844225431909306,-0.21339277151997485,-0.1799685743147392,-0.1720165140865197,-0.17146165315955056,0.06612699211783629,-0.05720751043278956,0.04039697639854739,-1.208726850322255,-0.05759729080443129,-0.058490474788016104,-0.09389862618731507,0.03164822906439614,-0.15436027506944197,-0.1761449941738876,-0.02827574319101451,-0.07550863292997013,0.8235070147144947,-0.330096198519884,0.09750692971747982,-0.1334655442390139,-0.5115900696331547
NMLCL000110,-0.03243032780753928,-0.04413834185930176,-0.10232307571867327,-0.05917677811366845,-0.06445802847565937,0.5348617474329642,0.4927098618972502,-0.28133452539184184,0.04562797392720801,-0.12059078332792827,-0.12059078332792827,0.06039768835282174,-0.297745762894685,-0.059718580371076746,0.22538856059294404,0.5494120069470217,0.5397142829526672,-0.16542378443717712,-0.04267673873787768,-0.1720165140865197,-0.17146165315955056,0.10846548724725023,-0.021732997061235184,0.3376384517083382,-1.0538512378199678,-0.05759347167052915,-0.03698593386655493,-0.009611025292666301,0.6586468925805914,-0.15436027506944197,-0.1761449941738876,0.14454710625861436,-0.07474964838658571,1.2915133444771625,-0.024038553372877875,0.3401024337916105,-0.03212395295754756,-0.5689099551350053
NMLCL000111,-0.030194592873729036,-0.04390369266190003,-0.29265713591635184,-0.06440145180991179,0.4036021088564393,1.1721625937183833,0.4385610631818298,-0.3176049839526417,-0.10995561523372509,-0.12059078332792827,-0.12059078332792827,0.0057817803127885705,-0.1808754487865953,-0.12221371552476899,-0.3769046399533939,1.2253393271962385,0.5293110021531139,-0.23845493822990071,-0.19020911451301406,-0.1720165140865197,-0.17146165315955056,-0.1633221445773279,-0.0966236364011833,-0.33968228711234727,-1.1209002401739079,-0.0575963387968344,-0.03734776245174323,-0.13078920781137235,-0.064733653232656,-0.15436027506944197,-0.1761449941738876,-0.06320063738962396,-0.07454271976366533,0.5081206994029324,-0.14646161143168032,-0.13473313018250968,0.018546842683185582,-0.43994021275584133
